Line Number,"Holdings Barcode","Call Number","Title","Author's Name","Copyright","Publication Date","Series Title","Series Volume"
1,"B000392","","2nd Chance","","","","",""
2,"B000384","","3rd Degree","","c2005.","2005.","",""
3,"B000390","","The 5th Horseman - Womens Murder Club 5","","","","",""
4,"B000556","","The 5th Horseman - Womens Murder Club 5","","","","",""
5,"B000381","","The 6th Target - Womens Murder Club 6","","c2010-01-01.","2010-01-01.","",""
6,"B000259","","American Blood","","c2015.","2015.","",""
7,"B000303","","The Assassin's Blade: The Throne of Glass Prequel Novellas","","c2015.","2015.","",""
8,"B000402","","The blessing Stone","","c2003.","2003","",""
9,"B000173","","Bonji Yagkanatu (Paperback)","","c2024.","2024.","",""
10,"B000249","","The Chosen One (Paperback)","","c2022.","2022.","",""
11,"B000283","","The Company of Fiends : Tempting Monsters Book Two","","c2022.","2022.","",""
12,"B000255","","Get of the Unicorn","","","","",""
13,"B000433","","The Great Core's Paradox (Paperback)","","c2022.","2022.","",""
14,"B000250","","The Great Core's Paradox 2 (Paperback)","","c2023.","2023.","",""
15,"B000513","","Hamilton Robb","","c2018.","2018.","",""
16,"B000358","","Love, Pamela (SIGNED FIRST PRINTING)","","c2023.","2023.","",""
17,"B000252","","The Murder House","","c2016.","2016.","",""
18,"B000284","","Sanctuary with Kings (Tempting Monsters, Band 3)","","c2023.","2023.","",""
19,"B000516","","Season of the Vigilante, Book One : The Bloody Season (Season of the Vigilante)","","c1., c2000.","August.","",""
20,"B000349","","Shadowcroft Academy For Dungeons","","c2021.","2021.","",""
21,"B000347","","Shadowcroft Academy For Dungeons (Paperback)","","c2021.","2021.","",""
22,"B000515","","Terry of The Double C","","c2019.","2019.","",""
23,"B000476","","XXX A new Breed of secret Agent","","c2002.","2002","",""
24,"B000479","","XXX A new Breed of secret Agent","","c2002.","2002","",""
25,"B000365","","Construction Technology : trainee guide","(U.S.), National Center for Construction Education and Research (NCCER)","c2009.","2009.","",""
26,"B000233","","Legion : Secrets and lies","Abnett, Dan","c., c2008.","31.","",""
27,"B000435","","Things Fall Apart","Achebe, Chinua","c2017.","2017.","",""
28,"B000047","","Noragami : stray god, Vol. 4","Adachi, Toka","c2015.","2015.","Noragami: Stray God","4"
29,"B000143","","Noragami: Stray God 1","Adachi, Toka","c2014.","2014.","Noragami: Stray God","01"
30,"B000062","","Noragami : stray god, Vol. 2","Adachitoka","c2014.","2014.","Noragami: Stray God","2"
31,"B000063","","Noragami : stray god, Vol. 3","Adachitoka","c2014.","2014.","Noragami: Stray God","3"
32,"B000217","","Last Chance to See","Adams, Douglas","c1992-09.","1992-09.","",""
33,"B000471","","Death March to the Parallel World Rhapsody 6","Ainana, Hiro","c2018-09-18.","2018-09-18.","",""
34,"B000470","","Death March to the Parallel World Rhapsody 7","Ainana, Hiro","c2019-01-22.","2019-01-22.","",""
